data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
3124397,466,MLI2654,2654,"16 February 2019",2019,1,"Violence against civilians","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Civilians (Mali)","Bozo Ethnic Group (Mali)",7,27,"Western Africa",Mali,Mopti,Tenenkou,Toguere-Coumbe,Toguere-Koumbe,14.9169,-4.5948,1,"AFP; Kisal",Regional-International,"On February 16, presumed Katiba Macina militants killed four Bozos in Toguere-Koumbe.",4,1551122597,MLI
3080642,466,MLI2649,2649,"15 February 2019",2019,1,"Remote violence","JNIM: Group for Support of Islam and Muslims",,2,"MSA: Movement for Azawad Salvation",,3,23,"Western Africa",Mali,Gao,Ansongo,Talataye,Talataye,16.5333,1.5167,1,"Kibaru; MsaAzawad; Telegram",Other-National,"On February 15, JNIM militants detonated an IED against an MSA vehicle in Talataye, one officer was killed and three others wounded.",1,1550526305,MLI
3124393,466,MLI2651,2651,"15 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims",,2,"Military Forces of Mali (2013-)",,1,12,"Western Africa",Mali,Mopti,Douentza,Mondoro,Mondoro,14.6762,-1.9513,2,Facebook,Other,"On February 15, presumed JNIM militants attacked a Malian army position in Mondoro, one assailant and one soldier were killed.",2,1551122597,MLI
3080640,466,MLI2647,2647,"14 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara)",,2,"GATIA: Imghad Tuareg and Allies Self-Defense Group","MSA: Movement for Azawad Salvation",3,23,"Western Africa",Mali,Gao,Menaka,Menaka,Taringuit,15.6594,1.5177,2,"Menastream; Twitter",Other-Regional,"On February 14, JNIM and/or ISGS militants clashed with GATIA and MSA militiamen in the area of Taringuit, south of In-Delimane, at least ten militiamen were killed and three others wounded.",10,1550526305,MLI
3080641,466,MLI2648,2648,"14 February 2019",2019,1,Riots/Protests,"Rioters (Mali)","Unidentified Communal Group (Mali)",5,"Rioters (Mali)","Unidentified Communal Group (Mali)",5,55,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,Bamada,National,"On February 14, a land dispute in Bamako-Coura Bolibana turned violent. When the national guard attempted to intervene, they were attacked by stonethrowers, they responded by firing tear gas.",0,1550526305,MLI
3080637,466,MLI2644,2644,"13 February 2019",2019,1,"Remote violence","Military Forces of France","Military Forces of Mali (2013-)",8,"JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,28,"Western Africa",Mali,Mopti,Mopti,Dialloube,Dialloube,15.0191,-4.2324,2,"AFP; RFI; Bamada",National-International,"On February 13, French forces in coordination with Malian forces carried out airstrikes targeting Katiba Macina (JNIM) militants near Dialloube, around 10 militants were killed while ground forces managed to liberate two humanitarian workers held hostages.",10,1550526305,MLI
3080638,466,MLI2645,2645,"13 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims",,2,"GATIA: Imghad Tuareg and Allies Self-Defense Group","MSA: Movement for Azawad Salvation",3,23,"Western Africa",Mali,Gao,Menaka,Tidermene,Tedjerit,16.9733,2.5203,2,"MsaAzawad; Kibaru; Telegram",Other-National,"On February 13, JNIM militants attacked a joint MSA and GATIA position and fuel traders in the area of Inahar (coded as Tedjerit at geoprecision 2), two GATIA militiamen and three civilians killed, two assailants also killed according to a statement by the coalition.",7,1550526305,MLI
3080639,466,MLI2646,2646,"13 February 2019",2019,1,Riots/Protests,"Protesters (Mali)",,6,"Police Forces of Mali (2013-)",,1,16,"Western Africa",Mali,Mopti,Mopti,"Mopti Commune",Mopti,14.4891,-4.1928,1,"Mali Actu",National,"On February 13, youths in Mopti staged a protest against the security situation in the region, the police dispersed the protest by firing teargas, several youths and children were wounded when policemen chased down protesters including inside houses.",0,1550526305,MLI
3080632,466,MLI2639,2639,"12 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Military Forces of Mali (2013-)",,1,12,"Western Africa",Mali,Mopti,Mopti,Dialloube,Dialloube,15.0191,-4.2324,2,"Mali Actu; AFP; aBamako; Telegram",Other-International,"On February 12, Katiba Macina (JNIM) militants carried out a complex ambush, initiated by an IED detonation followed by small arms fire against a Malian army convoy between Dialloube and Mopti (coded as Dialloube at geoprecision 2), at least three soldiers were killed and others wounded.",3,1550526305,MLI
3080633,466,MLI2640,2640,"12 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Military Forces of Mali (2013-)",,1,12,"Western Africa",Mali,Mopti,Koro,Koro,Koro,14.0778,-3.0832,2,"MaliActu; AFP; aBamako",National-International,"On February 12, presumed Katiba Macina (JNIM) militants ambushed a Malian army convoy between Koro and Bankass, and killed two soldiers.",2,1550526305,MLI
3124148,466,MLI2641,2641,"12 February 2019",2019,1,"Battle-No change of territory","Unidentified Armed Group (Mali)",,3,"Military Forces of Mali (2013-)",,1,13,"Western Africa",Mali,Mopti,Douentza,Hombori,Hombori,15.279,-1.7004,1,Malijet,National,"On February 12, unknown gunmen clashed with an armed customs officer in Hombori. The officer died.",1,1551122597,MLI
3080635,466,MLI2642,2642,"12 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Mopti,Douentza,Debere,Bota,15.08,-2.935,1,"Studio Tamani",National,"On February 12, a man was found murdered in the village of Bota under unclear circumstances.",1,1550526305,MLI
3080636,466,MLI2643,2643,"12 February 2019",2019,1,"Violence against civilians","Unidentified Communal Militia (Mali)",,4,"Civilians (Mali)","Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Douentza,Mondoro,Douna,15.11,-1.735,2,"Le Pays Dogon; L'Afrique Reelle",Other-Subnational,"On February 12, unknown gunmen killed a herder and seized his flock between Douna and Mondoro (coded as Douna at geoprecision 2).",1,1550526305,MLI
3080629,466,MLI2636,2636,"11 February 2019",2019,2,"Strategic development","Platform of June 14th 2014 movements","CME: Agreement Movements Coordination",3,"Military Forces of Mali (2013-)",,1,13,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,3,"Studio Tamani; Jeune Afrique; Nord Sud Journal; Twitter",National-Regional,"On February 11, it was announced that up to 600 army deserters from Plateforme and CME had returned to the ranks of the Malian armed forces.",0,1550526305,MLI
3080630,466,MLI2637,2637,"11 February 2019",2019,1,"Violence against civilians","Fulani Ethnic Militia (Mali)","Herders (Mali)",4,"Civilians (Mali)","Dogon Ethnic Group (Mali)",7,47,"Western Africa",Mali,Mopti,Bandiagara,"Bara Sara",Simeyekanda,14.18,-3.74,2,"Le Pays Dogon",Subnational,"On February 11, Fulani militiamen killed a young Dogon between Simeyekanda and Ounouna (coded as Simeyekanda at geoprecision 2).",1,1550526305,MLI
3080631,466,MLI2638,2638,"11 February 2019",2019,1,"Strategic development","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Health Workers (Mali)",7,37,"Western Africa",Mali,Gao,Ansongo,Ansongo,"Badji Gourma",15.7345,0.4033,1,"Studio Tamani",National,"On February 11, unknown gunmen ambushed a group of health workers in the village of Bazi-Gourma and stole the motorbike of the health center chief.",0,1550526305,MLI
3080628,466,MLI2635,2635,"10 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,37,"Western Africa",Mali,Mopti,Tenenkou,Toguere-Coumbe,Toguere-Koumbe,14.9169,-4.5948,1,Kisal,Regional,"On February 10, two members of the Fulani community were killed by an unknown party in Toguere-Koumbe.",2,1550526305,MLI
3080625,466,MLI2632,2632,"09 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Dozo Militia",,4,24,"Western Africa",Mali,Segou,Macina,Monimpebougou,Monimpebougou,14.1508,-5.5209,2,"Studio Tamani; Malijet",National,"On February 9, presumed Katiba Macina militants attacked a Dozo camp in Mamadaga (coded as Monimpebougou at geoprecision 2), several Dozos were wounded and the Malian army intervened to secure the village.",0,1550526305,MLI
3080626,466,MLI2633,2633,"09 February 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims","AQIM: Al Qaeda in the Islamic Maghreb",2,"Military Forces of France",,8,28,"Western Africa",Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,2,"Kibaru; Telegram",Other-National,"On February 9, a suspected suicide car bomb detonated on the airport road between Kabara and Timbuktu, the driver of the vehicle died in the blast, it is unclear if the vehicle exploded prematurely or if it was targeted by French forces. JNIM claimed responsibility and said that the attack targeted a French convoy.",1,1550526305,MLI
3080627,466,MLI2634,2634,"09 February 2019",2019,1,Riots/Protests,"Dozo Militia","Tombolomas Communal Militia (Mali)",4,"Rioters (Mali)","Labour Group (Mali); Dogon Ethnic Group (Mali)",5,45,"Western Africa",Mali,Koulikoro,Kangaba,Nouga,Samaya,11.6833,-8.65,2,"Agence Malienne de Presse",National,"On February 9, Dozos and Tombolomas clashed with artisanal miners (mainly composed of Dogons) in Kodiouni (coded as Samaya at geoprecision 2), while trying to break up an altercation between two female miners, the Dozos used their weapons and three people were wounded including two severely.",0,1550526305,MLI
2998905,466,MLI2629,2629,"08 February 2019",2019,1,"Violence against civilians","Dozo Militia","Dogon Ethnic Group (Mali)",4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,"Koulogon Habe",Ouro-Tidiani,13.7721,-3.4726,2,"Jeunesse Tabital Pulaaku",Other,"On February 8, presumed Dozo militiamen wounded a Fulani herdsman and seized his flock of livestock near the village of Ouro-Tidiani.",0,1549911956,MLI
2998906,466,MLI2630,2630,"08 February 2019",2019,1,"Violence against civilians","Dozo Militia","Dogon Ethnic Group (Mali)",4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,"Koulogon Habe",Kologon-Habe,13.8162,-3.4418,2,"Jeunesse Tabital Pulaaku",Other,"On February 8, Dozo militiamen opened fire against a group of Fulani marketgoers returning from the market in Kologon, one was severely wounded while two others managed to escape.",0,1549911956,MLI
2998907,466,MLI2631,2631,"08 February 2019",2019,1,"Violence against civilians","Dogon Ethnic Militia (Mali)",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Koro,Diankabou,Sourinde,14.5377,-3.0702,1,"Jeunesse Tabital Pulaaku",Other,"On February 8, Dogon militiamen opened fire against the Fulani hamlet of Sourinde, killing one villager.",1,1549911956,MLI
3080998,466,MLI2627,2627,"06 February 2019",2019,1,"Battle-No change of territory","GATIA: Imghad Tuareg and Allies Self-Defense Group",,3,"CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme)",,3,33,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,"Studio Tamani",National,"On February 6, GATIA attacked a CMFPR1 position in Gao, due to an alleged dispute about a livestock theft, five militiamen (including four CMFPR1 and 1 GATIA) were killed in the clashes.",5,1550526324,MLI
2998904,466,MLI2628,2628,"06 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Kidal,Kidal,Kidal,Kidal,18.44,1.41,1,Twitter,Other,"On February 6, unknown gunmen shot dead a man and seized his motorbike in Kidal.",1,1549911956,MLI
3080997,466,MLI2625,2625,"05 February 2019",2019,1,"Violence against civilians","Military Forces of Burkina Faso (2015-)",,8,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,78,"Western Africa",Mali,Mopti,Koro,Diougani,Didia,14.1838,-2.725,1,"Pinal (Burkina Faso); Menastream",Other-Regional,"On February 5, the Burkinabe army carried out an incursion in the Fulani hamlet of Didia, abducting nine members of the Fulani community.",0,1550526324,MLI
2998902,466,MLI2626,2626,"05 February 2019",2019,1,"Remote violence","JNIM: Group for Support of Islam and Muslims","Katiba Serma",2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,2,"Mali Actu; PANAPRESS; Kisal; Twitter",Other-Regional,"On February 5, a tranport vehicle was struck by an IED between Boni and Simby (coded as Boni at geoprecision 2), three civilians were killed and others wounded, the IED was likely planted by Katiba Serma (JNIM) militants.",3,1549911956,MLI
2998899,466,MLI2623,2623,"04 February 2019",2019,1,"Violence against civilians","Military Forces of Mali (2013-)",,1,"Civilians (Mali)","Tuareg Ethnic Group (Mali); Government of Mali (2013-)",7,17,"Western Africa",Mali,Gao,Menaka,Menaka,Menaka,15.9182,2.4022,1,"Mali Actu; AFP; RFI",National-International,"On February 4, a Malian army sentinel opened fire against a vehicle in Menaka, killing the mayor of Anderamboukane and wounding three of his associates.",1,1549911956,MLI
2998900,466,MLI2624,2624,"04 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Mopti,Bankass,Bankass,Bankass,14.0775,-3.5159,2,"Studio Tamani",National,"On February 4, unknown gunmen attacked several villages in the area of Bankass, six people were killed, around 20 others wounded, and people forced to flee their homes.",6,1549911956,MLI
2998898,466,MLI2622,2622,"03 February 2019",2019,1,"Remote violence","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Mopti,Tenenkou,Toguere-Coumbe,Toguere-Koumbe,14.9169,-4.5948,2,Twitter,Other,"On February 3, a cart was struck by an IED between Toguere-Koumbe and Koumana (coded as Toguere-Koumbe at geoprecision 2), two civilians were killed in the blast, the IED was most likely planted by Katiba Macina (JNIM) militants.",2,1549911956,MLI
2974941,466,MLI2617,2617,"01 February 2019",2019,1,"Violence against civilians","GATIA: Imghad Tuareg and Allies Self-Defense Group",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,NDaki,15.3584,-0.9241,2,Twitter,Other,"On February 1, presumed GATIA militiamen abducted an individual in the area of NDaki.",0,1549309920,MLI
2974942,466,MLI2618,2618,"01 February 2019",2019,1,"Battle-No change of territory","GATIA: Imghad Tuareg and Allies Self-Defense Group",,3,"Islamic State (Greater Sahara)",,2,23,"Western Africa",Mali,Gao,Menaka,Menaka,"Ti Dinbawi",15.3859,1.4505,1,Menastream,Regional,"On February 1, GATIA and ISGS clashed throughout the day in Tidimbawen, 25 people were killed including a civilian hit in the crossfire.",25,1549309920,MLI
2974943,466,MLI2619,2619,"01 February 2019",2019,1,"Violence against civilians","Fulani Ethnic Militia (Mali)",,4,"Civilians (Mali)","Dogon Ethnic Group (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,Baye,Yara,13.54,-3.417,1,Menastream,Regional,"On February 1, Fulani militiamen attacked the Dogon hamlet of Yara, three people were killed and 15 wounded, and parts of the hamlet torched.",3,1549309920,MLI
2974944,466,MLI2620,2620,"01 February 2019",2019,1,"Violence against civilians","Fulani Ethnic Militia (Mali)",,4,"Civilians (Mali)","Dogon Ethnic Group (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,Baye,Dissa,13.4616,-3.3044,1,Facebook,Other,"On February 1, Fulani militiamen attacked the Dogon hamlet of Dissa, two people were killed and seven wounded.",2,1549309920,MLI
2974945,466,MLI2621,2621,"01 February 2019",2019,1,"Violence against civilians","Fulani Ethnic Militia (Mali)",,4,"Civilians (Mali)","Dogon Ethnic Group (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,Baye,Boila,13.54,-3.4,1,Facebook,Other,"On February 1, Fulani militiamen attacked and torched the Dogon hamlet of Boila.",0,1549309920,MLI
2974939,466,MLI2615,2615,"30 January 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Muslim Group (Mali)",7,37,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,"Anadolu Agency",International,"On January 30, unknown individuals stabwounded an imam in Bamako.",0,1549309920,MLI
2974940,466,MLI2616,2616,"30 January 2019",2019,1,Riots/Protests,"Protesters (Mali)",,6,,,0,60,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,Afribone,Other,"On January 30, activists staged a protest in Bamako against American imperialism and in support of Venezuela.",0,1549309920,MLI
2974936,466,MLI2612,2612,"29 January 2019",2019,1,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims","Al Mourabitoune Battalion",2,"Military Forces of Mali (2013-)",,1,12,"Western Africa",Mali,Gao,Bourem,Tarkint,Tarkint,17.4794,0.1169,1,"PANAPRESS; AFP; Telegram",Other-International,"On January 29, JNIM militants carried out a complex attack against a Malian army camp in Tarkint, the attack was initiated by the detonation of a suicide car bomb followed by an armed assault, two soldiers were killed and ten others wounded.",2,1549309920,MLI
2974937,466,MLI2613,2613,"29 January 2019",2019,2,"Violence against civilians","GATIA: Imghad Tuareg and Allies Self-Defense Group",,3,"Civilians (Mali)","Fulani Ethnic Group (Mali)",7,37,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,"Bangui Mallam",15.4031,-1.3712,2,"Studio Tamani; Pinal (Mali)",Other-National,"On January 29, it was reported that presumed GATIA militiamen had abducted six Fulani men, executed them and thrown them in a well in the Kimarou area of Bangui Mallam.",6,1549309920,MLI
2974938,466,MLI2614,2614,"29 January 2019",2019,1,Riots/Protests,"Rioters (Mali)","Students (Mali)",5,,,0,50,"Western Africa",Mali,Sikasso,Koutiala,"Koutiala Commune",Koutiala,12.3917,-5.4642,1,"Mali Actu",National,"On January 29, against the backdrop of teachers striking, students took to the streets in Koutiala, the protests turned violent and motorbikes were burned.",0,1549309920,MLI
3028630,466,MLI2611,2611.0,"28 January 2019",2019,1,"Remote violence","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Military Forces of Mali (2013-)",,1,12,"Western Africa",Mali,Mopti,Tenenkou,Matomo,Toye,14.0805,-4.9277,2,"Kibaru; Twitter; Telegram",Other-National,"On January 28, JNIM militants detonated an IED against a Malian army vehicle in the area of Toye, killing at least four soldiers and wounding two others.",4,1550172284,MLI
2974933,466,MLI2609,2609,"27 January 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Segou,Macina,Monimpebougou,Tougou,14.455,-5.6115,2,"Studio Tamani",National,"On January 27, unknown gunmen intercepted four vehicles in the area of Tougou, the vehicles and the passengers were taken to an unknown location.",0,1549309920,MLI
2974934,466,MLI2610,2610,"27 January 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Sikasso,Kadiolo,Kadiolo,Kadiolo,10.554,-5.7593,2,"Agence Malienne de Presse",National,"On January 27, an unknown gunman aboard a motorbike shot dead a civilian and wounded two others on the axis Kadiolo-Zegoua (coded as Kadiolo at geoprecision 2).",1,1549309920,MLI
2942561,466,MLI2605,2605,"26 January 2019",2019,1,Riots/Protests,"Protesters (Mali)",,6,,,0,60,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,aBamako,National,"On January 26, thousands of people gathered in Bamako for a protest meeting demanding the usage of death penalty amid increasing in security and a string assassinations in the capital of Bamako.",0,1548698501,MLI
2942562,466,MLI2606,2606,"26 January 2019",2019,1,Riots/Protests,"Protesters (Mali)","Fulani Ethnic Group (Mali)",6,,,0,60,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,1,RFI,International,"On January 26, thousands of Fulani mobilized in Bamako to protest against intercommunal violence in central Mali between Fulani and Dogons.",0,1548698501,MLI
2942557,466,MLI2601,2601,"25 January 2019",2019,1,"Battle-No change of territory","Unidentified Armed Group (Mali)",,3,"Police Forces of Mali (2013-)","Douentza Communal Militia (Mali)",1,13,"Western Africa",Mali,Mopti,Douentza,"Douentza Commune",Douentza,14.9951,-2.9517,1,"Agence Malienne de Presse",National,"On January 25, unknown gunmen attempted to hijack a vehicle from a ranger in Douentza, one of the assailants was killed by a mob composed of security forces and locals and the second arrested.",1,1548698501,MLI
